"Name","Type","Uri","Path","Depth","Contained"
"managedAppLogCollectionRequests","managedAppLogCollectionRequest","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/managedAppLogCollectionRequests","/deviceManagement/comanagedDevices/{id}/users/{id}/managedAppLogCollectionRequests","2","True"
"managedAppRegistrations","managedAppRegistration","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/managedAppRegistrations","/deviceManagement/comanagedDevices/{id}/users/{id}/managedAppRegistrations","2","False"
"appliedPolicies","managedAppPolicy","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/managedAppRegistrations/{id}/appliedPolicies","/deviceManagement/comanagedDevices/{id}/users/{id}/managedAppRegistrations/{id}/appliedPolicies","3","True"
"intendedPolicies","managedAppPolicy","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/managedAppRegistrations/{id}/intendedPolicies","/deviceManagement/comanagedDevices/{id}/users/{id}/managedAppRegistrations/{id}/intendedPolicies","3","True"
"managedAppLogCollectionRequests","managedAppLogCollectionRequest","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/managedAppRegistrations/{id}/managedAppLogCollectionRequests","/deviceManagement/comanagedDevices/{id}/users/{id}/managedAppRegistrations/{id}/managedAppLogCollectionRequests","3","True"
"operations","managedAppOperation","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/managedAppRegistrations/{id}/operations","/deviceManagement/comanagedDevices/{id}/users/{id}/managedAppRegistrations/{id}/operations","3","True"
"windowsInformationProtectionDeviceRegistrations","windowsInformationProtectionDeviceRegistration","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/windowsInformationProtectionDeviceRegistrations","/deviceManagement/comanagedDevices/{id}/users/{id}/windowsInformationProtectionDeviceRegistrations","2","False"
"deviceManagementTroubleshootingEvents","deviceManagementTroubleshootingEvent","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/deviceManagementTroubleshootingEvents","/deviceManagement/comanagedDevices/{id}/users/{id}/deviceManagementTroubleshootingEvents","2","True"
"mobileAppIntentAndStates","mobileAppIntentAndState","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/mobileAppIntentAndStates","/deviceManagement/comanagedDevices/{id}/users/{id}/mobileAppIntentAndStates","2","True"
"mobileAppTroubleshootingEvents","mobileAppTroubleshootingEvent","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/mobileAppTroubleshootingEvents","/deviceManagement/comanagedDevices/{id}/users/{id}/mobileAppTroubleshootingEvents","2","True"
"appLogCollectionRequests","appLogCollectionRequest","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/mobileAppTroubleshootingEvents/{id}/appLogCollectionRequests","/deviceManagement/comanagedDevices/{id}/users/{id}/mobileAppTroubleshootingEvents/{id}/appLogCollectionRequests","3","True"
"notifications","notification","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/notifications","/deviceManagement/comanagedDevices/{id}/users/{id}/notifications","2","True"
"photos","profilePhoto","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/photos","/deviceManagement/comanagedDevices/{id}/users/{id}/photos","2","True"
"activities","userActivity","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/activities","/deviceManagement/comanagedDevices/{id}/users/{id}/activities","2","True"
"historyItems","activityHistoryItem","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/activities/{id}/historyItems","/deviceManagement/comanagedDevices/{id}/users/{id}/activities/{id}/historyItems","3","True"
"devices","device","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/devices","/deviceManagement/comanagedDevices/{id}/users/{id}/devices","2","True"
"usageRights","usageRight","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/usageRights","/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/usageRights","3","True"
"deviceTemplate","deviceTemplate","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/deviceTemplate","/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/deviceTemplate","3","False"
"deviceInstances","device","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/deviceTemplate/{id}/deviceInstances","/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/deviceTemplate/{id}/deviceInstances","4","False"
"owners","directoryObject","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/deviceTemplate/{id}/owners","/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/deviceTemplate/{id}/owners","4","False"
"memberOf","directoryObject","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/memberOf","/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/memberOf","3","False"
"registeredOwners","directoryObject","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/registeredOwners","/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/registeredOwners","3","False"
"registeredUsers","directoryObject","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/registeredUsers","/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/registeredUsers","3","False"
"transitiveMemberOf","directoryObject","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/transitiveMemberOf","/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/transitiveMemberOf","3","False"
"extensions","extension","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/extensions","/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/extensions","3","True"
"commands","command","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/commands","/deviceManagement/comanagedDevices/{id}/users/{id}/devices/{id}/commands","3","True"
"onlineMeetings","onlineMeeting","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/onlineMeetings","/deviceManagement/comanagedDevices/{id}/users/{id}/onlineMeetings","2","True"
"aiInsights","callAiInsight","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/onlineMeetings/{id}/aiInsights","/deviceManagement/comanagedDevices/{id}/users/{id}/onlineMeetings/{id}/aiInsights","3","True"
"recordings","callRecording","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/onlineMeetings/{id}/recordings","/deviceManagement/comanagedDevices/{id}/users/{id}/onlineMeetings/{id}/recordings","3","True"
"transcripts","callTranscript","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/onlineMeetings/{id}/transcripts","/deviceManagement/comanagedDevices/{id}/users/{id}/onlineMeetings/{id}/transcripts","3","True"
"adhocCalls","adhocCall","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/adhocCalls","/deviceManagement/comanagedDevices/{id}/users/{id}/adhocCalls","2","True"
"recordings","callRecording","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/adhocCalls/{id}/recordings","/deviceManagement/comanagedDevices/{id}/users/{id}/adhocCalls/{id}/recordings","3","True"
"transcripts","callTranscript","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/adhocCalls/{id}/transcripts","/deviceManagement/comanagedDevices/{id}/users/{id}/adhocCalls/{id}/transcripts","3","True"
"chats","chat","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/chats","/deviceManagement/comanagedDevices/{id}/users/{id}/chats","2","True"
"installedApps","teamsAppInstallation","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/chats/{id}/installedApps","/deviceManagement/comanagedDevices/{id}/users/{id}/chats/{id}/installedApps","3","True"
"members","conversationMember","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/chats/{id}/members","/deviceManagement/comanagedDevices/{id}/users/{id}/chats/{id}/members","3","True"
"messages","chatMessage","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/chats/{id}/messages","/deviceManagement/comanagedDevices/{id}/users/{id}/chats/{id}/messages","3","True"
"hostedContents","chatMessageHostedContent","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/chats/{id}/messages/{id}/hostedContents","/deviceManagement/comanagedDevices/{id}/users/{id}/chats/{id}/messages/{id}/hostedContents","4","True"
"replies","chatMessage","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/chats/{id}/messages/{id}/replies","/deviceManagement/comanagedDevices/{id}/users/{id}/chats/{id}/messages/{id}/replies","4","True"
"operations","teamsAsyncOperation","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/chats/{id}/operations","/deviceManagement/comanagedDevices/{id}/users/{id}/chats/{id}/operations","3","True"
"permissionGrants","resourceSpecificPermissionGrant","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/chats/{id}/permissionGrants","/deviceManagement/comanagedDevices/{id}/users/{id}/chats/{id}/permissionGrants","3","True"
"pinnedMessages","pinnedChatMessageInfo","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/chats/{id}/pinnedMessages","/deviceManagement/comanagedDevices/{id}/users/{id}/chats/{id}/pinnedMessages","3","True"
"tabs","teamsTab","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/chats/{id}/tabs","/deviceManagement/comanagedDevices/{id}/users/{id}/chats/{id}/tabs","3","True"
"joinedTeams","team","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams","2","False"
"allChannels","channel","/beta/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels","/deviceManagement/comanagedDevices/{id}/users/{id}/joinedTeams/{id}/allChannels","3","False"
